Timestamp,Username,"Programa o carrera que estás estudiando: (en caso de doble titulación, menciona ambas carreras o programas).",Campus al que perteneces,Género,Nacionalidad:,Edad,1.- I get my full water bottle while leaving home.,2.- I wonder about increasing of cancer events in industrial areas.,3.- Degenerated enviromental conditions can cause negative effect on mental health.,"4.- What a pitty!, people think that technology can solve every problem, althought technology cannot produce one gram organic honey.","5.- The reflection of enviromental problems can be seen at the same time, in succession, and more than one area.",6.- I try to pattern people who have positive ecologic behavior in my social life.,7.- I prefer to buy local vegetables and fruits.,8.- I believe that one of the ways of fighting with obesity is enviromental education.,"9.- I have remorse to know some goods I buy, are produced by explotation of human work.","10.- One of the reasons of immigration of rural people, is the job lost due to global firms.",11.- Global firms prevent local producer to have profit.,"12.- People, to immigrate to another place, are cheaper laborer sources for big companies.","13.-  En una escala del 1 al 10, ¿cómo consideras que cambió tu mentalidad y comportamiento respecto a la sostenibilidad, como resultado de lo que aprendiste en tu carrera profesional?  (Donde 1 es nada, 10 es totalmente)",14.- Da alguna razón o justificación de tu respuesta anterior.
2025/05/06 3:24:37 PM MDT,1,LAET,Campus Guadalajara,Mujer,Mexicana,21 a 22 años,Partly agree,Completely agree,Completely agree,Completely agree,Completely agree,Completely agree,Completely agree,Completely agree,Completely agree,Completely agree,Completely agree,Completely agree,10,n/a
2025/05/06 3:26:17 PM MDT,2,LAE,Campus Guadalajara,Mujer,Mexicana,21 a 22 años,Completely agree,Partly agree,Completely agree,Partly agree,Completely agree,Partly agree,Partly disagree,Completely agree,Completely agree,Partly agree,Completely agree,Partly agree,10,Encontré formas de hacer negocios sostenibles y sustentables que puedan estar en equilibrio con el rendimiento financiero a la par del aprovechamiento responsable de recursos 
2025/05/06 3:26:19 PM MDT,3,LAET,Campus Guadalajara,Mujer,mexicana,23 a 24 años,Completely agree,Partly disagree,Partly agree,Completely agree,Completely agree,Completely agree,Completely agree,Not sure,Partly agree,Partly agree,Completely agree,Partly agree,8,"aprendí sobre TBL, valor compartido y negocios concientes"
2025/05/06 3:26:32 PM MDT,4,Estrategia y Transformación de Negocios ,Campus Guadalajara,Mujer,mexicana ,21 a 22 años,Partly agree,Partly disagree,Completely agree,Not sure,Partly agree,Completely agree,Not sure,Not sure,Partly agree,Completely agree,Completely agree,Partly agree,7,.
2025/05/06 3:27:23 PM MDT,5,LAET,Campus Guadalajara,Hombre,Mexicana ,23 a 24 años,Completely agree,Partly agree,Partly agree,Completely agree,Partly agree,Completely agree,Not sure,Partly agree,Partly agree,Partly agree,Not sure,Completely agree,8,Hasta ahora aplique lo aprendido sobre la sostentabilidad en el ambito de los negocios y me di cuenta que si se pueden tomar acciones sostenibles y aun así tener un negocio que genere ganancias 
2025/05/06 3:27:39 PM MDT,6,LAE,Campus Guadalajara,Mujer,Mexicana,21 a 22 años,Completely agree,Completely agree,Completely agree,Not sure,Completely agree,Partly agree,Completely agree,Partly agree,Completely agree,Completely agree,Completely agree,Completely agree,9,"Si bien desde antes me preocupaba el medio ambiente y mi impacto en el mismo, el hecho de que en la carrera siempre nos inculcaran la responsabilidad ambiental y se hiciera tanto hincapié en los ODS reforzó mi compromiso hacia la sostenibilidad. "
2025/05/06 3:28:51 PM MDT,7,LAET,Campus Guadalajara,Mujer,Mexicana,21 a 22 años,Completely agree,Partly disagree,Completely agree,Partly agree,Partly agree,Partly agree,Completely agree,Partly agree,Not sure,Partly agree,Partly agree,Completely agree,9,Las clases que se impartieron siempre dieron un enfoque y ka importancia de crear valor no solo económico sino para el entorno.
2025/05/06 3:29:14 PM MDT,8,LAET,Campus Guadalajara,Hombre,Mexicana,21 a 22 años,Completely agree,Completely agree,Completely agree,Partly agree,Partly agree,Partly agree,Partly agree,Partly agree,Partly agree,Partly agree,Partly agree,Partly agree,9,Por los temas que vimos de negocios conscientes
2025/05/06 3:29:33 PM MDT,9,LAE,Campus Guadalajara,Hombre,Mexicano,21 a 22 años,Completely disagree,Partly agree,Completely agree,Not sure,Completely agree,Completely disagree,Partly agree,Partly disagree,Completely disagree,Completely agree,Partly agree,Not sure,6,"Si bien sí procuro evitar generar daños de la mayor manera posible (ej. cargar con un termo para llenarlo en la escuela o gimnasio, evitar dejar las luces encendidas o el agua corriendo, etc.) y es algo que comencé a hacer desde que me encuentro en universidad, no considero que haya modificado mis opciones en cuanto a las personas con las que me junto o los productos/alimentos que consumo y de dónde provienen. Por ello, podría decir que de manera general me encuentro en un punto medio."
2025/05/06 3:29:37 PM MDT,10,LAET,Campus Guadalajara,Mujer,MEXICANA,21 a 22 años,Completely agree,Partly agree,Completely agree,Partly agree,Completely agree,Partly agree,Partly agree,Partly agree,Not sure,Partly agree,Partly agree,Partly agree,8,"Considero que si ha cambiado mi mentalidad un 80% pero no al 100% pues al tener acceso más fácil a las cosas menos sostenibles, eso hace que no actue al 100 conforme a eso."
